Key,Source,Context,Changes,English
BDKWarning,buffs,Buff,New,"Кровопотеря"
BDKWarningDesc,buffs,Buff,New,"Вы чувствуете себя слабым из-за кровопотери."
DroppedLootContainer,entityclasses,Entity Info,New,"Брошенная добыча"
EntityLootContainerBandit,entityclasses,Entity Info,New,"Брошенная добыча"
EntityLootContainerBoss,entityclasses,Entity Info,New,"Брошенная добыча"
EntityLootContainerRegular,entityclasses,Entity Info,New,"Брошенная добыча"
EntityLootContainerStrong,entityclasses,Entity Info,New,"Брошенная добыча"
EvisceratedRemains,entityclasses,Entity Info,New,"Выпотрошенные останки"
InstantSickDrunk,buffs,Buff,EnNone FrNone GrNone KgNone SpNone,
Trader,entityclasses,Entity,New,"Торговец"
WindowPlug01,blocks,Block,KgNone,"Затычка окна 1"
WindowPlug02,blocks,Block,KgNone,"Затычка окна 2"
WindowPlug03,blocks,Block,KgNone,"Затычка окна 3"
WindowPlug04,blocks,Block,KgNone,"Затычка окна 4"
activeBlockPrompt,,Block prompt,New,"([DECEA3]Активный[-]) {0}"
aeGenericTitle,,App Error,KgNone,"ОШИБКА"
aeOK,,App Error,KgNone,"ОК"
aealAccountDoesNotExist,,Account Linking App Error,KgNone,"Учётная запись с таким адресом электронной почты не существует."
aealAccountExists,,Account Linking App Error,KgNone,"Этот адрес электронной почты уже существует."
aealAuthenticationFail,,Account Linking App Error,KgNone,"Ошибка при проверке этой учётной записи. Пожалуйста, проверьте введённый пароль и повторите попытку."
aealInvalidEmail,,Account Linking App Error,KgNone,"Неверный формат электронной почты."
aealInvalidPassword,,Account Linking App Error,KgNone,"Пароль не соответствует правилам проверки."
aealMissingInfo,,Account Linking App Error,KgNone,"Отсутствует имя пользователя или пароль."
aealToS,,Main Menu Account Linking,KgNone,"Пожалуйста, примите условия пользовательского соглашения."
aealUnknownError,,Account Linking App Error,KgNone,"Не удалось подключиться к серверам учётных записей TTG. Пожалуйста, повторите попытку позже."
aeconConnectionFailed,,Connection App Error,KgNone,"Не удалось подключиться к серверу.  Пожалуйста, повторите попытку позже."
aeconDisconnected,,Connection App Error,KgNone,"Вы были отключены от игры. Пожалуйста, повторите попытку позже."
