Key,Source,Context,Changes,English
bonus,,Category,KgNone,"Дополнительно"
challenge,,Category,KgNone,"Испытание"
quest,,Category,KgNone,"Задание"
questChain,,Category,KgNone,"Серия заданий"
treasure,,Category,KgNone,"Сокровище"
challenge_buythefarm,,Challenge Info,KgNone,"Покупка фермы"
challenge_buythefarm_offer,,Challenge Info,EnChanged KgNone,"Итак, выживший,\nЯ думаю, что ты нашёл оставленную нами для тебя записку. Сейчас это кот в мешке, поэтому давай перейдём сразу к делу. Мы наблюдаем за тобой, и думаю, что ты мог бы стать хорошим новобранцем. Но прежде чем мы откроем наши двери незнакомцу, давай посмотрим, сможешь ли ты сделать эту простую работёнку.\n\nЯ скользче, чем кошачье дерьмо на линолеуме... Вилли\n\nИспытание: убить несколько животных"
challenge_buythefarm_subtitle,,Challenge Info,KgNone,"Убить несколько животных"
challenge_copanattitude,,Challenge Info,KgNone,"Тёрки с копом"
challenge_copanattitude_offer,,Challenge Info,KgNone,"Путник,\nТот факт, что ты читаешь это, не случайность. Мои парни уже давно наблюдают за тобой, и мы всегда ищем новобранцев, которые всё ещё на живой стороне дела. Но прежде чем мы кинемся в объятия, мы хотим, чтобы ты сделал одно дельце, чтобы увидеть, из чего ты сделан.\n\nОни зовут меня - Сумасшедший Джейк\n\nИспытание: убить несколько зомби-полицейских"
challenge_copanattitude_subtitle,,Challenge Info,KgNone,"Убить несколько зомби-полицейских"
challenge_dogdaysareover,,Challenge Info,KgNone,"Собачьи дни закончились"
challenge_dogdaysareover_offer,,Challenge Info,KgNone,"Поздравляю, новобранец,\nЭта записка - персональное приглашение на вступление в наш клан. Мы давно следим за тобой и видим потенциал. Сделай эту работёнку, и мы подумаем о твоём присоединении к нам. Давай посмотрим, достаточно ли ты крепок, чтобы убить зомби-собак.\n\nЯ, мать его, Сумасшедший Джейк\n\nИспытание: убить несколько зомби-собак"
challenge_dogdaysareover_subtitle,,Challenge Info,KgNone,"Убить несколько зомби-собак"
challenge_dontfeedthebears,,Challenge Info,KgNone,"Не кормите медведей"
challenge_dontfeedthebears_offer,,Challenge Info,EnChanged KgNone,"Привет, друг,\nЕсли у тебя не дерьмо вместо мозгов, то должен знать, что мы давно следим за тобой. Теперь, когда мы пошутили, позволь мне объяснить тебе суть дела. Мы хотим, чтобы ты присоединился к скользким, но сначала тебе нужно пройти это посвящение, чтобы мы полностью убедились.\n\nСкользче, чем писюн мелюзги... Вилли\n\nИспытание: убить несколько медведей"
challenge_dontfeedthebears_subtitle,,Challenge Info,KgNone,"Убить медведей"
